s1,s2,s3,s4,s5
80,82,93,86,87
95,92,99,94,93
82,80,93,92,92
82,85,83,92,92
86,94,87,82,92
92,82,93,85,81
92,82,94,90,94
80,80,97,87,87
89,99,99,94,89
97,91,87,90,85
97,81,99,95,91
86,81,80,93,94
91,86,90,88,89
98,90,81,94,83
87,90,99,99,88
98,81,96,81,97
96,94,88,91,91
83,84,97,83,83
89,83,86,95,87
89,89,83,85,89
93,85,82,97,97
84,86,89,89,91
94,86,97,83,81
99,96,92,84,97
98,93,88,84,88
80,86,86,90,85
91,83,86,87,80
93,89,85,90,84
97,89,89,99,99
94,97,81,97,96
80,86,92,94,96
80,98,91,91,84
83,89,80,83,81
89,94,96,86,83
80,82,95,97,83
86,82,95,83,89
90,94,91,86,86
88,93,96,90,91
88,86,88,91,84
98,87,95,81,89
93,86,83,84,83
80,97,81,83,81
96,95,87,94,86
83,86,80,98,90
90,95,86,85,87
90,82,89,85,94
81,80,87,96,84
99,84,82,90,84
99,83,90,96,93
89,90,93,98,96
84,83,89,90,98
96,93,84,97,95
89,82,97,82,87
82,91,90,83,83
91,80,90,94,98
97,80,96,95,92
89,93,92,88,90
98,94,93,86,84
83,94,93,95,97
87,81,88,86,94
90,94,82,86,86
88,97,82,88,87
90,82,88,93,99
80,81,96,95,99
93,95,92,93,93
84,92,95,92,87
88,86,99,99,81
84,86,93,86,91
89,85,95,97,88
88,83,94,87,96
80,92,91,87,93
84,95,82,80,80
92,82,87,97,87
83,98,87,89,81
93,93,85,85,90
96,84,85,81,97
80,83,85,99,87
93,95,86,88,90
89,90,88,93,82
95,80,94,91,90
97,88,91,92,86
84,88,91,84,88
87,93,92,94,80
88,82,98,89,87
99,84,92,87,89
84,83,89,93,87
85,97,88,83,90
99,81,95,93,80
93,87,82,80,94
92,97,80,85,91
80,99,94,87,83
97,93,93,93,97
99,88,80,81,87
82,99,82,88,97
91,93,90,92,94
85,87,80,83,85
92,84,84,89,85
85,94,94,89,95
84,99,94,83,92
99,86,85,89,93
89,86,85,96,98
96,93,84,97,92
86,84,80,89,89
96,91,81,97,91
94,89,95,87,99
86,86,94,87,99
80,91,82,86,97
88,94,90,95,92
89,90,98,91,97
80,89,93,95,88
83,94,99,92,92
84,97,93,87,99
94,98,92,92,95
97,80,99,98,92
81,97,85,97,85
84,93,87,82,98
81,91,89,86,82
83,88,94,92,93
92,85,84,88,81
84,89,97,80,90
92,90,81,87,97
84,93,88,80,86
95,83,88,87,82
93,81,97,91,97
82,91,97,96,80
89,85,98,91,93
93,86,82,81,85
83,94,94,88,98
88,93,87,96,87
96,93,82,91,97
87,95,95,82,92
95,87,91,89,91
93,84,87,95,96
81,80,99,90,86
82,96,97,88,87
95,81,90,91,95
94,86,82,87,95
96,83,81,92,93
80,97,90,85,98
87,81,87,85,88
87,85,82,87,98
91,86,89,91,86
97,80,94,80,80
95,83,99,96,99
93,93,84,89,95
94,86,85,87,89
93,83,99,94,97
91,90,80,85,93
92,95,98,82,85
81,82,93,83,95
98,92,90,81,95
88,80,90,95,92
84,85,89,81,83
98,87,86,98,92
91,99,89,81,85
87,90,96,81,99
90,85,85,88,81
94,94,91,87,84
88,98,85,89,81
83,83,90,99,84
93,92,84,93,99
86,92,94,84,84
85,93,80,98,91
94,93,88,85,87
92,82,92,97,90
94,97,96,86,82
82,92,82,89,81
94,84,99,95,98
82,93,94,98,94
82,93,87,81,94
84,89,89,89,85
89,85,88,85,90
95,93,92,87,90
88,87,82,83,94
81,85,88,83,95
92,82,94,89,83
97,85,97,83,95
89,93,83,85,93
82,82,81,97,84
91,96,85,82,86
92,95,85,91,85
90,80,87,88,96
94,99,81,99,82
97,86,85,86,96
99,92,91,94,95
88,86,87,95,82
98,93,86,89,99
95,91,89,89,93
97,93,86,85,81
89,80,89,96,84
91,91,86,93,89
88,94,95,84,86
85,88,88,87,88
87,99,92,91,96
97,80,80,94,84
83,81,89,86,88
82,92,80,97,90
83,93,80,81,99
88,95,93,96,95
80,95,89,84,86
94,91,92,99,82
92,86,92,81,89
92,90,93,89,96
83,95,86,99,99
95,96,95,93,95
88,95,89,82,90
93,97,89,98,81
93,89,95,89,83
91,87,93,87,89
91,92,90,90,87
88,88,86,88,90
92,86,95,89,98
99,88,85,85,97
80,92,94,83,97
94,98,98,83,89
93,88,83,88,87
91,80,94,90,85
80,90,88,83,96
84,94,93,87,89
94,89,83,87,91
87,98,94,97,84
86,94,81,85,82
96,93,87,99,98
90,96,87,95,95
98,88,97,89,90
96,96,84,82,97
91,81,81,98,98
97,93,89,92,93
99,81,97,89,88
94,94,82,90,90
84,94,96,99,97
82,97,89,92,99
81,89,98,86,99
96,80,84,88,92
80,96,88,95,90
95,98,93,81,97
80,94,95,96,93
83,94,94,86,81
86,80,90,82,95
84,98,91,82,83
95,97,97,95,92
85,91,95,96,91
98,99,97,84,92
89,92,84,95,83
84,85,93,96,91
91,86,89,98,95
93,82,86,89,93
84,89,83,90,88
83,90,92,94,85
86,87,94,85,81
94,91,89,95,96
93,90,93,87,90
99,97,90,96,88
89,99,96,89,92
91,93,95,99,95
89,81,84,98,90
87,88,94,85,80
90,96,93,89,86
93,93,96,86,96
80,86,81,97,90
80,97,88,94,87
85,83,83,97,95
84,94,89,91,90
83,87,90,89,96
84,86,99,86,98
88,90,89,99,84
85,82,81,87,88
97,88,85,83,97
88,89,98,94,94
86,85,88,83,92
99,83,95,92,99
98,81,83,88,83
92,92,89,83,81
86,89,82,85,99
80,96,92,97,81
91,80,95,84,87
92,86,93,88,89
99,90,89,98,81
81,92,86,89,97
99,90,90,81,89
89,89,88,98,92
92,85,83,98,94
81,81,92,89,84
96,91,86,97,83
98,98,87,97,89
93,84,85,91,84
85,86,84,83,85
97,88,81,83,96
81,99,95,82,92
84,96,97,95,97
81,80,80,99,85
81,90,86,98,95
84,90,96,94,99
98,96,87,83,84
87,94,94,90,98
88,89,87,90,82
88,89,82,87,97
91,82,95,82,89
95,87,92,84,96
85,88,94,95,93
99,93,87,82,80
81,93,92,95,95
92,99,86,84,99
99,84,90,87,86
81,96,86,85,93
99,86,94,92,84
80,97,85,82,96
92,96,84,87,99
95,84,96,94,81
90,87,92,96,85
90,80,91,92,88
85,95,85,87,80
83,96,84,86,98
99,83,99,84,80
81,97,84,88,87
98,95,93,90,87
99,87,89,98,93
95,89,97,86,97
83,89,88,92,95
90,98,81,88,81
90,96,99,89,94
80,91,97,97,80
82,81,99,98,97
99,84,94,81,87
96,87,93,87,82
80,83,94,90,98
98,87,99,86,97
90,89,98,88,81
83,80,94,90,97
93,84,80,92,82
89,89,88,93,90
86,90,93,99,97
85,99,86,92,86
92,86,80,95,84
99,97,81,81,82
83,97,84,88,98
94,89,85,87,85
82,92,81,97,95
89,96,94,94,99
86,86,98,95,83
91,98,82,86,94
93,95,89,89,88
93,89,84,99,93
98,82,83,83,83
96,90,95,86,87
91,92,87,99,95
95,96,97,89,87
84,86,89,87,92
91,96,88,89,81
87,98,91,98,99
83,96,91,94,81
99,94,90,84,97
87,88,90,91,90
81,93,97,91,84
84,86,98,96,83
80,85,95,86,90
93,80,98,84,93
96,83,90,94,81
94,91,93,84,96
89,92,82,96,87
97,97,87,90,93
82,94,93,96,92
92,99,93,81,80
87,88,88,88,84
91,89,98,81,89
97,95,91,87,86
82,94,94,95,88
86,94,95,85,82
91,82,98,99,83
97,80,95,81,94
80,98,99,94,92
80,92,86,82,86
88,93,84,95,86
90,86,98,85,95
85,90,83,80,93
86,84,91,85,95
96,92,94,81,89
87,98,88,99,92
96,95,89,89,96
85,85,99,83,97
87,98,94,93,91
94,97,95,94,84
90,87,89,98,96
86,88,97,96,96
99,94,96,97,99
99,85,95,86,87
80,98,83,86,99
80,97,95,87,80
92,89,89,88,98
94,94,90,80,87
84,93,80,89,91
89,93,87,81,88
84,86,84,81,80
91,99,91,95,96
95,97,89,97,85
97,94,94,92,90
95,87,80,95,82
93,87,84,89,82
89,86,85,87,93
97,99,85,83,93
85,95,80,96,97
97,95,83,96,80
83,90,94,97,81
84,97,94,82,83
95,97,99,82,97
98,84,87,91,83
80,80,90,98,93
99,80,93,94,90
96,91,97,91,84
88,89,99,84,98
84,95,96,82,96
96,93,85,91,98
96,81,81,92,96
92,99,93,87,88
84,81,96,95,83
82,94,90,92,86
96,81,99,94,96
86,85,83,86,94
93,96,92,91,85
93,90,82,99,87
83,87,90,94,81
82,84,92,80,88
96,87,94,81,93
94,81,81,97,85
91,99,99,87,87
85,97,96,83,96
90,91,95,81,91
87,94,97,84,89
91,91,98,90,99
98,94,97,87,89
87,82,91,89,91
88,81,82,96,82
97,84,98,93,99
91,90,98,86,99
99,92,98,85,82
80,81,95,86,89
98,88,87,84,99
92,83,95,85,93
98,84,87,91,82
91,90,91,96,95
81,86,85,90,82
93,89,86,82,98
94,82,99,87,96
94,99,90,96,95
96,90,91,89,91
92,95,97,98,99
84,97,86,99,85
86,93,93,93,88
84,83,93,90,80
80,89,97,92,92
81,98,80,91,83
96,80,99,99,96
83,99,92,92,80
85,82,80,91,84
91,86,84,95,85
90,87,85,88,80
82,80,94,93,84
99,89,84,97,95
98,83,82,86,89
95,94,81,85,83
92,81,83,87,86
82,95,89,99,99
87,94,95,91,83
90,83,86,94,90
95,93,91,97,93
81,95,88,87,90
94,86,82,94,97
89,94,93,83,88
82,90,82,82,90
90,92,91,80,93
95,93,83,82,87
82,85,95,87,89
80,97,97,95,87
86,91,81,83,99
97,92,88,81,97
89,87,83,96,99
90,89,81,87,81
82,91,98,91,88
89,82,96,80,80
83,83,92,89,87
86,93,88,87,85
91,92,97,90,93
96,93,84,97,92
88,98,82,85,81
89,94,82,97,81
99,99,90,95,93
86,94,89,92,83
86,85,91,92,86
90,88,84,88,90
93,98,83,99,97
92,84,94,98,94
95,83,98,84,97
93,93,93,81,82
97,80,91,82,99
85,84,80,92,99
96,91,94,86,95
95,86,91,95,82
98,92,99,95,94
92,80,89,92,92
89,93,94,83,88
90,81,91,91,87
82,80,97,99,92
89,83,91,89,93
88,93,98,87,84
98,97,86,86,83
88,81,88,88,83
95,82,94,92,93
82,91,98,95,95
82,87,87,85,81
91,84,95,93,99
98,84,82,93,93
92,89,98,95,81
91,89,87,99,93
84,99,82,90,92
95,86,86,92,92
98,86,99,85,94
89,99,81,91,84
84,80,85,84,98
86,96,94,89,92
90,98,98,85,89
95,91,90,94,84
91,84,90,93,85
99,96,87,85,84
89,99,99,84,82
82,95,84,89,90
89,96,86,90,83
85,85,80,83,86
86,88,99,92,86
88,97,83,88,99
85,93,82,81,80
99,91,98,92,99
87,80,90,81,96
82,85,84,80,86
98,88,84,99,99
94,99,81,84,80
89,96,97,84,93
83,93,97,99,97
82,81,87,80,83
94,94,97,97,95
84,94,85,80,99
98,83,93,95,88
93,91,92,83,87
83,80,97,83,94
94,95,81,87,92
90,89,88,81,83
91,90,81,98,99
94,91,84,87,93
99,94,85,88,81
92,88,90,94,83
91,81,99,99,94
92,83,93,95,86
85,81,97,89,91
87,80,95,87,93
93,81,96,83,96
99,84,98,81,91
96,94,97,82,93
81,81,80,86,82
95,82,92,83,81
84,92,83,84,80
90,80,89,99,85
95,85,91,83,89
92,86,93,86,88
95,93,92,95,94
84,88,98,84,98
82,90,91,89,83
94,88,96,97,95
81,96,83,91,95
84,91,87,98,88
80,86,99,87,89
82,86,88,96,94
81,82,80,87,94
97,92,94,83,88
91,90,83,97,94
92,91,98,96,85
85,99,95,84,86
99,96,87,88,97
80,82,84,91,86
92,84,89,92,84
91,99,88,98,99
94,93,86,86,88
96,83,88,98,83
84,85,96,99,84
85,87,81,87,88
87,98,82,92,96
80,90,85,93,83
85,83,92,87,98
93,93,89,98,88
95,89,90,86,83
86,91,83,91,81
90,85,83,87,86
95,94,84,85,82
87,82,99,87,93
80,89,90,88,91
80,83,91,99,96
91,85,95,87,83
92,92,96,80,80
98,92,87,88,98
90,85,99,90,83
98,90,87,86,93
87,91,99,92,87
88,96,80,85,80
99,81,87,81,91
97,91,96,91,97
88,94,97,86,80
90,82,98,94,98
93,81,81,93,91
89,92,95,91,89
95,81,95,96,94
83,97,87,93,89
87,84,86,80,99
99,92,83,91,97
92,99,86,90,91
86,82,86,99,87
95,97,83,90,82
90,87,91,90,90
82,88,88,80,81
84,88,93,81,87
96,80,98,90,97
93,93,96,90,81
82,95,98,97,93
89,80,97,99,95
82,99,98,91,80
96,99,92,81,95
81,92,95,92,81
96,99,99,81,96
92,91,81,81,96
95,85,96,92,95
90,87,97,91,82
81,95,80,95,91
95,99,82,97,82
97,91,80,93,83
90,99,83,91,95
97,81,89,88,88
96,85,88,97,93
94,99,90,99,93
83,92,82,95,96
91,97,86,95,93
99,81,87,96,81
90,80,80,94,96
98,88,97,86,98
86,84,94,92,85
96,81,81,86,91
81,94,97,99,80
90,89,86,94,84
89,97,80,95,95
88,90,88,86,91
96,90,97,83,85
82,86,85,92,93
87,81,98,86,96
90,93,88,96,85
81,93,92,92,87
90,86,85,93,96
94,94,85,95,88
89,97,84,82,90
86,96,83,82,90
84,90,88,87,85
80,82,84,80,88
80,81,95,81,97
92,80,98,98,95
89,94,96,80,89
80,98,89,97,88
94,96,80,93,85
90,94,97,87,89
82,83,87,81,82
93,89,93,81,84
87,98,81,87,99
94,97,95,91,89
82,85,81,95,94
96,96,90,83,89
95,89,91,94,99
97,89,80,80,88
95,84,88,96,94
96,88,97,83,97
99,80,87,97,85
88,92,87,91,83
88,96,95,83,80
94,97,83,97,81
83,84,88,83,80
96,81,86,96,91
80,80,89,91,89
98,82,83,83,94
89,96,85,95,82
87,92,88,88,81
98,86,83,94,86
84,82,98,83,88
81,89,96,85,96
94,97,90,82,86
85,97,83,88,88
84,81,80,96,93
90,86,89,86,97
97,86,81,84,84
84,81,87,96,89
92,86,86,88,87
94,97,96,97,92
87,81,98,82,89
97,81,80,82,99
90,95,80,88,84
98,96,88,95,88
92,85,89,83,92
96,95,83,94,81
87,98,92,84,86
95,89,81,82,86
85,95,93,96,85
98,87,87,90,90
82,80,89,92,92
99,96,88,80,95
81,82,96,81,96
94,85,84,93,81
93,96,86,84,87
85,94,87,96,81
82,98,84,91,98
97,93,81,83,89
98,80,87,94,93
92,91,92,81,98
95,94,97,92,80
98,95,87,98,81
98,91,84,99,91
80,90,96,93,94
97,83,98,80,93
99,99,91,86,88
93,98,84,95,88
95,85,99,98,92
88,98,87,96,97
98,95,90,93,98
84,89,93,98,87
89,97,99,91,97
81,82,89,90,85
89,92,93,84,92
86,90,96,93,80
80,88,92,85,83
92,82,81,81,97
96,98,95,82,87
98,98,80,80,90
87,83,95,90,91
95,97,91,94,82
94,91,97,96,93
90,81,92,81,87
94,84,88,89,95
99,81,88,99,80
97,92,82,97,99
91,97,88,84,97
93,95,82,90,80
93,98,85,86,83
88,95,92,92,95
86,84,99,84,85
92,91,84,85,87
87,99,88,93,92
87,86,92,93,97
80,87,91,84,97
94,89,81,81,81
84,86,83,93,83
91,97,90,97,89
86,94,87,82,89
82,83,96,99,84
96,83,85,87,94
99,89,91,80,92
97,98,95,80,88
89,85,94,86,86
96,92,91,99,86
89,80,94,90,83
88,91,99,84,81
82,93,86,97,89
85,87,86,83,83
94,94,80,85,90
83,98,92,80,81
89,92,81,81,82
92,91,83,81,82
97,82,99,80,84
84,98,94,91,98
86,88,82,96,94
99,85,83,97,83
92,85,88,82,87
92,92,84,91,80
94,87,96,88,92
99,88,96,96,99
90,85,94,96,86
94,95,88,93,84
96,83,83,80,83
88,92,92,99,86
99,86,99,86,89
97,81,88,98,87
82,96,80,82,95
88,93,94,86,87
91,94,91,80,99
94,95,94,82,95
93,99,97,87,85
88,84,94,90,89
87,83,99,83,89
80,92,87,86,84
89,84,95,91,97
88,89,97,87,85
81,89,90,81,88
89,81,91,95,98
90,87,81,82,95
82,87,97,81,99
93,98,81,89,93
82,93,85,80,80
97,86,86,83,90
96,80,93,91,86
92,87,95,93,90
80,82,83,83,89
86,92,98,85,96
95,98,98,81,86
92,91,81,83,98
92,92,83,89,94
84,92,88,86,99
80,99,96,95,98
87,92,97,86,87
87,82,80,90,82
89,82,92,83,92
87,84,96,94,85
90,94,85,81,95
88,97,85,89,80
94,88,99,89,82
81,84,82,94,85
97,92,82,82,86
86,90,99,84,82
81,95,98,81,92
81,87,96,80,88
97,80,82,85,81
92,91,80,91,89
98,94,93,98,82
87,81,82,81,86
94,98,98,87,90
84,80,83,85,94
83,82,93,96,92
95,82,84,91,95
85,86,87,90,89
92,88,82,90,80
95,96,84,82,81
94,94,92,98,85
82,84,91,96,81
89,98,93,82,80
82,80,82,93,94
81,91,96,97,83
95,99,80,80,97
88,83,85,95,96
91,98,96,91,85
88,92,87,98,98
88,95,96,87,83
87,84,97,99,95
92,87,90,92,86
84,96,82,98,84
98,83,82,99,81
87,87,99,90,96
92,89,82,99,97
81,97,80,91,83
95,98,97,84,82
97,96,80,84,95
93,80,96,96,96
99,84,80,90,81
95,83,97,98,81
92,89,89,90,86
89,85,95,98,80
94,98,83,92,97
84,86,85,87,97
90,96,88,86,96
95,88,87,81,99
92,83,85,94,93
97,99,88,98,80
96,80,81,92,90
81,85,88,84,84
81,98,90,97,82
89,93,85,86,94
94,95,80,99,84
98,81,80,97,86
84,91,95,95,82
97,84,97,94,87
88,95,92,81,90
86,84,97,84,94
88,84,97,93,97
97,81,89,80,80
84,83,99,83,90
83,82,85,86,85
88,99,93,96,80
85,87,89,86,97
80,93,85,95,96
83,96,81,84,81
96,93,95,89,85
91,99,83,87,86
99,85,88,91,92
98,82,94,84,88
94,84,80,96,92
94,95,80,95,96
97,81,84,91,85
91,86,97,91,99
90,98,84,95,84
82,95,87,86,85
96,96,83,90,98
92,83,86,94,80
95,99,81,85,99
86,83,85,89,85
97,86,85,80,91
85,98,92,81,89
96,82,94,94,99
85,86,88,95,99
87,91,89,89,89
89,94,93,96,94
94,86,92,94,91
88,82,96,96,85
97,99,97,85,87
95,81,97,82,98
96,85,91,99,82
87,93,83,98,83
81,91,91,88,85
91,86,92,81,99
94,88,97,83,96
96,82,97,89,99
99,88,81,99,95
91,92,88,87,93
89,88,96,94,85
92,95,93,99,84
88,80,94,91,99
84,88,81,91,97
93,93,84,82,86
95,87,91,87,96
81,98,81,91,87
85,97,95,89,96
90,87,82,88,94
82,82,87,98,87
86,85,97,85,85
80,88,94,80,91
97,96,90,97,92
92,84,85,82,94
89,80,89,89,89
95,91,92,82,80
97,87,89,95,91
97,87,85,99,80
84,95,99,84,89
95,93,93,91,97
81,80,98,95,92
94,82,86,97,86
89,96,95,88,93
82,85,98,92,97
84,84,92,97,84
91,90,81,97,97
81,82,87,82,97
80,89,91,94,95
82,94,91,89,91
91,82,86,93,95
92,98,91,95,89
98,91,82,92,90
92,82,80,82,99
99,97,96,84,84
80,98,82,95,87
81,88,98,87,98
84,93,89,86,87
96,92,98,80,86
92,88,97,80,89
95,82,81,87,92
93,82,86,81,99
85,88,87,97,97
84,93,83,84,93
84,90,88,89,89
98,84,97,86,92
86,83,91,88,83
93,98,98,82,91
98,93,97,95,97
86,87,82,92,90
93,98,93,95,90
82,87,87,92,98
86,93,94,81,88
96,97,83,84,98
88,85,86,89,89
96,96,82,96,94
83,93,98,89,94
86,82,97,97,92
98,90,89,97,80
82,97,83,80,94
97,94,94,84,93
81,81,80,94,99
86,92,81,92,99
92,94,93,94,88
80,84,89,85,86
81,98,94,94,91
93,92,94,90,92
93,84,88,82,89
84,81,80,95,99
84,87,97,82,92
83,89,93,88,92
92,82,85,81,99
83,81,80,95,82
96,87,95,95,91
99,93,81,89,92
80,86,88,85,94
93,91,90,87,90
98,97,85,97,94
87,99,81,88,93
90,89,99,83,87
85,96,90,82,93
96,82,99,85,90
99,90,82,95,85
95,99,86,92,94
84,82,94,88,99
83,83,90,81,96
89,89,95,96,88
81,89,91,82,91
84,84,85,84,84
91,93,94,83,82
95,85,82,89,86
89,90,86,87,93
87,81,95,90,92
92,90,94,84,86
96,86,99,83,89
99,87,89,80,87
82,98,85,85,86
98,88,88,84,85
85,94,80,82,87
80,94,91,90,99
96,81,86,97,94
94,89,99,93,99
87,88,99,93,92
93,95,95,91,90
97,86,94,89,90
88,94,87,84,91
88,98,86,93,97
91,98,94,84,85
85,83,94,95,99
82,85,81,98,99
91,82,90,83,87
90,92,94,83,99
93,81,89,94,90
83,88,86,93,94
99,93,80,92,96
82,87,91,82,92
83,83,94,84,90
99,91,88,97,97
89,84,90,90,91
87,95,88,98,91
96,80,82,80,95
89,82,85,96,86
94,82,94,99,86
98,88,96,82,96
83,97,82,93,83
83,81,80,87,88
99,92,85,95,88
82,90,97,83,92
87,83,90,95,81
88,93,88,99,98
96,87,99,83,84
93,94,87,91,88
97,80,84,92,83
85,83,96,97,92
82,82,90,87,92
82,99,92,95,86
81,85,99,86,89
89,95,83,96,81
90,82,84,83,80
96,93,98,88,82
82,95,99,92,84
92,87,81,83,90
85,96,88,80,96
93,87,93,93,90
89,88,98,82,98
94,84,90,96,87
85,90,93,88,85
90,98,88,90,80
82,97,98,85,90
84,83,80,95,97
98,93,82,90,94
90,98,90,94,87
81,97,92,88,95
93,97,85,99,91
86,92,96,91,83
81,86,91,91,89
96,96,90,99,90
82,85,99,95,84
96,90,97,81,81
87,93,91,95,83
83,84,80,94,88
84,90,83,80,87
87,89,83,92,87
94,98,87,94,97
88,85,86,88,99
98,88,92,92,87
99,89,88,88,86
88,96,86,85,89
89,93,93,97,91
94,97,87,85,88
89,92,96,91,86
83,88,89,87,81
85,95,86,80,99
86,92,84,99,85
86,98,98,97,99
99,80,96,90,89
83,90,80,80,98
83,91,98,86,90
87,92,80,80,91
97,87,92,81,83
90,81,91,85,86
80,95,80,81,93
91,93,94,85,84
92,89,97,81,80
95,87,84,81,83
97,96,95,94,84
93,92,82,83,90
90,82,86,90,99
85,90,80,90,81
97,91,93,99,97
82,87,81,92,92
98,87,91,88,85
81,98,86,82,95
99,90,91,96,93
99,90,90,96,93
84,83,82,97,84
97,81,89,92,97
90,80,91,92,88
85,89,90,92,92
83,97,96,86,91
81,92,98,94,81
82,93,84,92,96
82,92,95,87,81
89,92,82,90,88
92,80,97,99,97
82,84,99,91,95
97,96,99,88,91
91,84,91,85,83
80,86,97,96,82
89,99,88,95,81
89,97,94,88,95
85,90,96,91,92
86,99,97,97,86
97,90,99,88,84
95,82,84,83,82
80,98,86,90,97
92,88,98,95,92
87,81,85,88,80
95,80,95,90,81
86,83,83,97,80
97,98,93,97,87
96,93,80,94,92
96,86,89,84,85
97,99,81,85,88
86,98,91,82,86
81,89,92,93,82
93,92,87,82,84
94,89,99,82,88
96,98,94,91,89
82,85,99,84,94
84,86,95,82,83
82,80,95,85,93
80,93,81,94,83
83,91,97,85,93
85,82,81,88,89
88,89,95,84,89
87,88,83,94,94
99,96,98,89,96
87,84,81,92,93
91,89,86,85,93
85,85,80,94,94
91,85,90,94,90
98,86,87,85,97
90,95,81,83,94
87,80,84,95,99
87,96,92,92,85
92,99,98,84,98
88,87,87,97,88
80,84,85,80,85
88,82,82,84,81
91,87,98,88,90
98,89,92,94,93
96,82,90,91,82
96,97,98,95,85
97,99,82,96,94
88,98,99,88,84
83,97,98,86,82
88,95,90,97,96
97,86,96,89,83
92,99,89,83,93
89,98,91,87,88
99,87,86,89,88
95,88,92,95,99
85,86,90,81,93
84,90,84,90,89
89,96,90,87,94
85,89,84,90,94
88,96,88,92,96
81,81,95,94,82
99,94,83,99,96
89,85,87,87,85
81,96,97,84,99
81,86,84,88,81
84,85,87,87,87
96,90,89,93,90
82,88,92,83,87
80,81,87,93,90
90,90,92,81,87
92,99,96,86,89
82,84,99,86,86
83,85,89,80,86
95,85,91,81,91
84,88,87,89,87
99,95,80,96,83
92,98,90,92,86
92,90,85,99,92
81,92,86,91,90
